,id,laydate,year,weight,joeweight,length,breadth,volume,mage,fage,clutch,fertile,sire,srear,dam,drear,pair,minus,eggcount,double,doubletot,comments,eggsb,damsb,siresb,damF,sireF,relatedness
1,95PIRU1,2/12/1995,1995,296,295.88,111.12,68.71,265.97,5,11,1,N,Tumusai,Artificial,Piru,Artificial,2,1994,0,N,0,Infertile. First Cal. Condor Egg at TPF,NA,34,53,0,0.0161,-0.0339
2,95TECU1,2/25/1995,1995,270.3,263.66,106.67,66.2,237.01,6,12,1,N,Shasta,Artificial,Tecuya,Artificial,2,1994,0,N,0,Infertile.,NA,30,47,0,-0.0316,0.0046
3,95TECU2,3/26/1995,1995,259.18,255.27,102.84,66.34,229.47,6,12,2,N,Shasta,Artificial,Tecuya,Artificial,2,1994,0,N,0,Infertile.,NA,30,47,0,-0.0316,0.0046
4,95PIRU2,4/9/1995,1995,295.29,298.73,109.06,69.69,268.54,5,11,2,N,Tumusai,Artificial,Piru,Artificial,2,1994,0,N,0,Infertile.,NA,34,53,0,0.0161,-0.0339
5,96TOWA1,2/18/1996,1996,255.6,262.45,109.8,65.1,235.92,5,7,1,N,Susil,Artificial,Towasinah,Artificial,3,1995,0,N,0,Infertile.,NA,49,67,-0.0508,-0.0316,-0.0179
6,96TECU1,3/3/1996,1996,266.06,260.72,105.45,66.21,234.37,7,13,1,N,Shasta,Artificial,Tecuya,Artificial,3,1995,2,Y,1,Infertile.,NA,30,47,0,-0.0316,0.0046
7,96PIRU1,3/7/1996,1996,308,311.83,110.3,70.8,280.32,6,12,1,N,Tumusai,Artificial,Piru,Artificial,3,1995,2,Y,1,Infertile.,NA,34,53,0,0.0161,-0.0339
8,96TSUT1,3/11/1996,1996,270,266.17,109,65.8,239.27,7,5,1,N,Kaduku,Parent,Tsuts,Artificial,3,1995,0,N,0,Infertile.,NA,68,48,-0.0316,0.0525,0.05
9,96TOWA2,3/17/1996,1996,270.9,269.59,110.4,65.8,242.34,5,7,2,NA,Susil,Artificial,Towasinah,Artificial,3,1995,0,N,0,Broken in Nest.,NA,49,67,-0.0508,-0.0316,-0.0179
10,96TENE1,3/20/1996,1996,244.4,245.57,101.8,65.4,220.76,5,5,1,N,Pawoco,Artificial,Teneiya,Artificial,2,1995,0,N,0,Infertile.,NA,70,60,-0.0226,0.0525,0.0202
11,96TECU2,4/2/1996,1996,257.1,255.47,104.3,65.9,229.65,7,13,2,Y,Shasta,Artificial,Tecuya,Artificial,3,1995,2,Y,1,First Egg Hatched at TPF.,150,30,47,0,-0.0316,0.0046
12,96PIRU2,4/7/1996,1996,287.2,290.58,109.8,68.5,261.21,6,12,2,N,Tumusai,Artificial,Piru,Artificial,3,1995,2,Y,1,Infertile.,NA,34,53,0,0.0161,-0.0339
13,97TSUT1,2/19/1997,1997,273.28,267.71,109.3,65.9,240.66,8,6,1,N,Kaduku,Parent,Tsuts,Artificial,4,1996,1,N,0,Infertile.,NA,68,48,-0.0316,0.0525,0.05
14,97TECU1,2/23/1997,1997,274.2,264.61,106.51,66.37,237.87,8,14,1,Y,Shasta,Artificial,Tecuya,Artificial,4,1996,2,Y,2,Sent to L.A. Zoo at 10 days.,165,30,47,0,-0.0316,0.0046
15,97HONS1,2/24/1997,1997,280.23,285.43,103.4,69.96,256.58,7,7,1,N,Oneia,Artificial,Honsi,Artificial,4,1996,0,N,0,Infertile.,NA,57,50,0.0549,-0.0508,-0.0077
16,97CHUH1,2/28/1997,1997,281.55,281.73,106.55,68.47,253.26,6,7,1,N,O-Tum,Artificial,Chuhlna,Artificial,3,1996,0,N,0,Infertile.,NA,51,62,-0.0508,0.0549,-0.0077
17,97TENE1,3/3/1997,1997,251.23,246.35,103.35,65.01,221.45,6,6,1,N,Pawoco,Artificial,Teneiya,Artificial,3,1996,1,N,0,Infertile.,NA,70,60,-0.0226,0.0525,0.0202
18,97TOWA1,3/11/1997,1997,282.73,277.46,113.97,65.7,249.42,6,8,1,N,Susil,Artificial,Towasinah,Artificial,4,1996,2,Y,1,Infertile.,NA,49,67,-0.0508,-0.0316,-0.0179
19,97HONS2,3/23/1997,1997,272.55,272.56,104.02,68.16,245.01,7,7,2,N,Oneia,Artificial,Honsi,Artificial,4,1996,0,N,0,Infertile.,NA,57,50,0.0549,-0.0508,-0.0077
20,97PIRU1,3/29/1997,1997,287.26,287.56,108.5,68.55,258.5,7,13,1,Y,Tumusai,Artificial,Piru,Artificial,4,1996,2,Y,2,Early Stage Death,NA,34,53,0,0.0161,-0.0339
511,97KITS1,4/16/1997,1997,NA,NA,NA,NA,NA,6,6,1,NA,Moko,Artificial,Kitsuk,Artificial,4,1996,0,N,0,Egg Shell Fragments Found in Flight on 16 Apr,NA,69,58,-0.0226,0.0161,-0.0364
21,98PIRU1,1/21/1998,1998,316.53,320.05,108.83,72.21,287.71,8,14,1,Y,Tumusai,Artificial,Piru,Artificial,5,1997,1,N,2,Natural Hatch.,176,34,53,0,0.0161,-0.0339
22,98TOWA1,1/27/1998,1998,287.82,283.49,111.14,67.25,254.84,7,9,1,N,Susil,Artificial,Towasinah,Artificial,5,1997,1,N,1,Infertile.,NA,49,67,-0.0508,-0.0316,-0.0179
23,98KARE1,1/30/1998,1998,281.56,279.1,109.42,67.25,250.89,6,8,1,Y,Tapu,Parent,Kareya,Artificial,4,1997,0,N,0,Hand Hatch.,177,56,71,0.0525,-0.0316,0.05
24,98TECU1,2/5/1998,1998,267.08,267.53,105.01,67.21,240.5,9,15,1,Y,Shasta,Artificial,Tecuya,Artificial,5,1997,1,N,2,Hand Hatch.,182,30,47,0,-0.0316,0.0046
25,98TSUT1,2/6/1998,1998,275.1,268.77,108.87,66.16,241.61,9,7,1,N,Kaduku,Parent,Tsuts,Artificial,5,1997,1,N,0,Infertile.,NA,68,48,-0.0316,0.0525,0.05
26,98HONS1,2/20/1998,1998,275.16,273.31,103.85,68.31,245.69,8,8,1,N,Oneia,Artificial,Honsi,Artificial,5,1997,2,Y,1,Infertile.,NA,57,50,0.0549,-0.0508,-0.0077
27,98CHUH1,2/21/1998,1998,303.13,302.38,112.97,68.89,271.82,7,8,1,N,O-Tum,Artificial,Chuhlna,Artificial,4,1997,1,N,0,Infertile.,NA,51,62,-0.0508,0.0549,-0.0077
28,98PIRU2,2/24/1998,1998,286.08,286.87,104.4,69.8,257.88,8,14,2,Y,Tumusai,Artificial,Piru,Artificial,5,1997,1,N,2,Returned to Adults Day 53,187,34,53,0,0.0161,-0.0339
29,98TENE1,2/27/1998,1998,252.88,249.15,102.84,65.54,223.97,7,7,1,N,Pawoco,Artificial,Teneiya,Artificial,4,1997,1,N,0,Infertile.,NA,70,60,-0.0226,0.0525,0.0202
30,98TOWA2,3/13/1998,1998,284.39,285.55,113.26,66.86,256.69,7,9,2,N,Susil,Artificial,Towasinah,Artificial,5,1997,1,N,1,Infertile.,NA,49,67,-0.0508,-0.0316,-0.0179
31,98TECU2,3/16/1998,1998,257.14,252.77,104.05,65.63,227.22,9,15,2,Y,Shasta,Artificial,Tecuya,Artificial,5,1997,1,N,2,Returned to Adults Day 49,191,30,47,0,-0.0316,0.0046
32,98HONS2,4/1/1998,1998,265.04,267.55,104.3,67.44,240.51,8,8,2,N,Oneia,Artificial,Honsi,Artificial,5,1997,2,Y,1,Infertile.,NA,57,50,0.0549,-0.0508,-0.0077
33,98KITS1,4/2/1998,1998,288.76,291.12,108.51,68.97,261.7,7,7,1,Y,Moko,Artificial,Kitsuk,Artificial,5,1997,1,N,0,Natural Inc. From 17 to 27 Apr;Hatched by Chuhlna/O-Tum; Pulled 31 Apr due to Pair Problems,193,69,58,-0.0226,0.0161,-0.0364
34,98CHUH2,4/7/1998,1998,291.46,291.57,113.16,67.59,262.1,7,8,2,N,O-Tum,Artificial,Chuhlna,Artificial,4,1997,1,N,0,Infertile.,NA,51,62,-0.0508,0.0549,-0.0077
35,99TSUT1,2/1/1999,1999,277.76,277.2,109,67.15,249.19,10,8,1,N,Kaduku,Parent,Tsuts,Artificial,6,1998,1,N,0,Infertile,NA,68,48,-0.0316,0.0525,0.05
36,99TOWA1,2/2/1999,1999,293.76,293.03,117.31,66.55,263.41,8,10,1,N,Susil,Artificial,Towasinah,Artificial,6,1998,2,Y,2,Infertile,NA,49,67,-0.0508,-0.0316,-0.0179
37,99PIRU1,2/7/1999,1999,NA,NA,NA,NA,NA,9,15,1,NA,Tumusai,Artificial,Piru,Artificial,6,1998,2,Y,3,Broken in Flight,NA,34,53,0,0.0161,-0.0339
38,99KARE1,2/13/1999,1999,291.78,291.73,110.59,68.39,262.25,7,9,1,Y,Tapu,Parent,Kareya,Artificial,5,1998,1,N,0,Late Term. Mortality,NA,56,71,0.0525,-0.0316,0.05
39,99TECU1,2/26/1999,1999,264.87,264.17,102.65,67.55,237.47,10,16,1,Y,Shasta,Artificial,Tecuya,Artificial,6,1998,2,Y,3,,203,30,47,0,-0.0316,0.0046
40,99TENE1,3/3/1999,1999,226.06,226.32,100.59,63.16,203.44,8,8,1,N,Pawoco,Artificial,Teneiya,Artificial,5,1998,1,N,0,Infertile,NA,70,60,-0.0226,0.0525,0.0202
41,99HONS1,3/6/1999,1999,276.9,275.19,103.56,68.64,247.37,9,9,1,N,Oneia,Artificial,Honsi,Artificial,6,1998,2,Y,2,Infertile,NA,57,50,0.0549,-0.0508,-0.0077
42,99PIRU2,3/8/1999,1999,288.01,288.38,105.22,69.71,259.24,9,15,2,Y,Tumusai,Artificial,Piru,Artificial,6,1998,2,Y,3,Returned to Adults Day 52,207,34,53,0,0.0161,-0.0339
43,99ROTC1,3/9/1999,1999,254.46,251.64,101.35,66.35,226.21,7,8,1,N,Atishwin,Artificial,Rotciwi,Artificial,5,1998,0,N,0,Infertile,NA,59,73,0.0161,-0.0226,-0.0364
44,99TSUT2,3/10/1999,1999,265.51,260.28,103.67,66.72,233.98,10,8,2,N,Kaduku,Parent,Tsuts,Artificial,6,1998,1,N,0,Infertile,NA,68,48,-0.0316,0.0525,0.05
45,99ALAP1,3/15/1999,1999,262.81,253.92,106.69,64.96,228.26,7,7,1,N,Qasil,Artificial,Alapay,Artificial,2,1998,0,N,0,Infertile,NA,82,74,0.0549,-0.0226,0.0061
46,99TOWA2,3/18/1999,1999,276.19,272.85,111.26,65.94,245.27,8,10,2,N,Susil,Artificial,Towasinah,Artificial,6,1998,2,Y,2,Infertile and Bubble Egg,NA,49,67,-0.0508,-0.0316,-0.0179
48,99TECU2,3/28/1999,1999,255.12,250.04,102.27,65.84,224.77,10,16,2,Y,Shasta,Artificial,Tecuya,Artificial,6,1998,2,Y,3,Fostered to Kitsuk/Moko; Pulled After 8 Days Due to Pair Problems,210,30,47,0,-0.0316,0.0046
47,99KITS1,3/28/1999,1999,300.02,303.76,110.04,69.96,273.06,8,8,1,Y,Moko,Artificial,Kitsuk,Artificial,6,1998,1,N,0,Given to Tecuya/Shasta,211,69,58,-0.0226,0.0161,-0.0364
49,99CHUH1,4/2/1999,1999,300.57,300.66,116.31,67.7,270.27,8,9,1,N,O-Tum,Artificial,Chuhlna,Artificial,5,1998,2,Y,1,Infertile.,NA,51,62,-0.0508,0.0549,-0.0077
50,99HONS2,4/3/1999,1999,263.47,262.85,102.41,67.46,236.29,9,9,2,N,Oneia,Artificial,Honsi,Artificial,6,1998,2,Y,2,Infertile.,NA,57,50,0.0549,-0.0508,-0.0077
51,99TENE2,4/4/1999,1999,242.47,237.37,102.05,64.22,213.38,8,8,2,N,Pawoco,Artificial,Teneiya,Artificial,5,1998,1,N,0,Infertile,NA,70,60,-0.0226,0.0525,0.0202
52,00HOSI1,1/14/2000,2000,262.77,259.2,101.92,67.15,233,10,7,1,N,Maluk,Artificial,Hosima,Parent,3,1999,0,N,0,Infertile.,NA,84,55,0.0023,0.0525,0.0908
53,00TSUT1,2/11/2000,2000,288.58,285.39,108.63,68.25,256.54,11,9,1,N,Kaduku,Parent,Tsuts,Artificial,7,1999,2,Y,1,Infertile.,NA,68,48,-0.0316,0.0525,0.05
54,00TOWA1,2/17/2000,2000,282.3,277.91,108.63,67.35,249.82,9,11,1,N,Susil,Artificial,Towasinah,Artificial,7,1999,2,Y,3,Infertile.,NA,49,67,-0.0508,-0.0316,-0.0179
55,00LIKU1,2/22/2000,2000,277.13,273.47,106.64,67.43,245.83,7,7,1,N,Wishtoyo,Artificial,Likuyi,Artificial,3,1999,0,N,0,Infertile.,NA,96,83,-0.0591,0.0023,0.036
57,00TECU1,2/22/2000,2000,263.62,262.22,101.02,67.84,235.71,11,17,1,Y,Shasta,Artificial,Tecuya,Artificial,7,1999,2,Y,4,Hand Hatched;Stuck to Membrane,224,30,47,0,-0.0316,0.0046
56,00PIRU1,2/22/2000,2000,304.76,305.37,108.75,70.56,274.51,10,16,1,Y,Tumusai,Artificial,Piru,Artificial,7,1999,2,Y,4,Natural Hatch.,223,34,53,0,0.0161,-0.0339
58,00HONS1,2/25/2000,2000,273.65,271.54,105.17,67.66,244.1,10,10,1,N,Oneia,Artificial,Honsi,Artificial,7,1999,2,Y,3,Infertile.,NA,57,50,0.0549,-0.0508,-0.0077
59,00ALAP1,2/27/2000,2000,268.18,256.01,105.35,65.64,230.13,8,8,1,N,Qasil,Artificial,Alapay,Artificial,3,1999,1,N,0,Infertile.,NA,82,74,0.0549,-0.0226,0.0061
60,00CHUH1,3/1/2000,2000,305.17,305.22,117.31,67.92,274.37,9,10,1,Y,O-Tum,Artificial,Chuhlna,Artificial,6,1999,1,N,1,Manual Pip,227,51,62,-0.0508,0.0549,-0.0077
61,00KARE1,3/2/2000,2000,282.41,278.36,110.34,66.88,250.23,8,10,1,Y,Tapu,Parent,Kareya,Artificial,6,1999,1,N,0,Returned to Adults Day 53,228,56,71,0.0525,-0.0316,0.05
62,00HOSI2,3/5/2000,2000,258.37,249.73,100.67,66.32,224.49,10,7,2,Y,Maluk,Artificial,Hosima,Parent,3,1999,0,N,0,Hand Hatched,232,84,55,0.0023,0.0525,0.0908
63,00TSUT2,3/13/2000,2000,261.06,256.91,106.86,65.29,230.95,11,9,2,N,Kaduku,Parent,Tsuts,Artificial,7,1999,2,Y,1,Infertile.,NA,68,48,-0.0316,0.0525,0.05
64,00HUYA1,3/14/2000,2000,280.06,278.21,113.69,65.87,250.1,6,7,1,Y,Antop,Artificial,Huya,Artificial,3,1999,0,N,0,Natural Hatch.,234,88,99,0.0549,0.0525,0.1113
65,00SULK1,3/15/2000,2000,NA,270.97,104.27,67.88,243.59,7,7,1,NA,Kuhu,Artificial,Sulkuw,Artificial,3,1999,0,N,0,"Broken by Male; Female Inc. in PM and Am, Found Dummy in Flight at Noon",NA,93,91,-0.0508,-0.0083,-0.0052
66,00ROTC1,3/19/2000,2000,239.26,239.61,99.36,65.39,215.4,8,9,1,N,Atishwin,Artificial,Rotciwi,Artificial,6,1999,1,N,0,Infertile.,NA,59,73,0.0161,-0.0226,-0.0364
68,00TOWA2,3/21/2000,2000,256.31,252,108.61,64.14,226.54,9,11,2,N,Susil,Artificial,Towasinah,Artificial,7,1999,2,Y,3,Infertile.,NA,49,67,-0.0508,-0.0316,-0.0179
67,00HAKU1,3/21/2000,2000,296.03,295.67,104.79,70.73,265.79,7,8,1,N,Siwon,Artificial,Haku,Artificial,3,1999,0,N,0,Infertile.,NA,77,85,0.0525,-0.0375,0.0704
69,00TECU2,3/24/2000,2000,247.17,248.84,102.84,65.5,223.69,11,17,2,Y,Shasta,Artificial,Tecuya,Artificial,7,1999,2,Y,4,Gave to Adults at Pip; Pulled to Hand Hatch Then Returned.,235,30,47,0,-0.0316,0.0046
70,00JALA1,3/26/2000,2000,237.63,242.91,106.01,63.74,218.36,7,8,1,N,Alishaw,Artificial,Jalama,Artificial,3,1999,0,N,0,Infertile.,NA,80,90,-0.0508,-0.0083,-0.0052
71,00HONS2,3/27/2000,2000,266.72,263.61,100.9,68.06,236.96,10,10,2,N,Oneia,Artificial,Honsi,Artificial,7,1999,2,Y,3,Infertile.,NA,57,50,0.0549,-0.0508,-0.0077
72,00ALAP2,3/29/2000,2000,264.38,255.4,106.72,65.14,229.59,8,8,2,N,Qasil,Artificial,Alapay,Artificial,3,1999,1,N,0,Infertile.,NA,82,74,0.0549,-0.0226,0.0061
73,00HOY1,3/31/2000,2000,273.28,276.97,101.64,69.51,248.98,9,7,1,N,Preghawish,Artificial,Hoy,Artificial,3,1999,0,N,0,Infertile.,NA,97,61,0.004,0.0525,0.0708
74,00KITS1,4/4/2000,2000,304.09,306.54,110.92,70,275.56,9,9,1,Y,Moko,Artificial,Kitsuk,Artificial,7,1999,1,N,0,Early Term Death,NA,69,58,-0.0226,0.0161,-0.0364
75,00TENE1,4/8/2000,2000,250.04,244.4,106.49,63.79,219.7,9,9,1,N,Pawoco,Artificial,Teneiya,Artificial,6,1999,2,Y,1,Infertile.,NA,70,60,-0.0226,0.0525,0.0202
76,00KOYO1,4/10/2000,2000,262.5,259.83,106.34,65.82,233.57,6,8,1,N,Inja,Artificial,Koyo,Artificial,3,1999,0,N,0,Infertile.,NA,76,104,0.0525,-0.0375,0.0704
77,00CHUH2,4/29/2000,2000,282.42,278.07,107.54,67.71,249.97,9,10,2,N,O-Tum,Artificial,Chuhlna,Artificial,6,1999,1,N,1,Infertile.,NA,51,62,-0.0508,0.0549,-0.0077
78,01LIKU1,2/8/2001,2001,270.93,267.57,103.54,67.69,240.53,8,8,1,N,Wishtoyo,Artificial,Likuyi,Artificial,4,2000,1,N,0,Infertile,NA,96,83,-0.0591,0.0023,0.036
79,01PIRU1,2/13/2001,2001,293.44,296.24,105.62,70.52,266.3,11,17,1,Y,Tumusai,Artificial,Piru,Artificial,8,2000,1,N,4,Hand Hatched; Stuck to Membrane;Very Active,240,34,53,0,0.0161,-0.0339
80,01HOSI1,2/14/2001,2001,267.35,262.53,99.84,68.28,235.99,11,8,1,Y,Maluk,Artificial,Hosima,Parent,4,2000,2,Y,1,Pip and Started Rotating Towards Bottem;Hand Hatched; ,241,84,55,0.0023,0.0525,0.0908
81,01ROTC1,2/16/2001,2001,273.06,275.83,104.32,68.47,247.96,9,10,1,N,Atishwin,Artificial,Rotciwi,Artificial,7,2000,1,N,0,Infertile,NA,59,73,0.0161,-0.0226,-0.0364
82,01TSUT1,2/22/2001,2001,273.83,274.41,106.5,67.59,246.67,12,10,1,N,Kaduku,Parent,Tsuts,Artificial,8,2000,2,Y,2,Infertile,NA,68,48,-0.0316,0.0525,0.05
83,01TECU1,2/25/2001,2001,256.02,253.43,100.46,66.88,227.82,12,18,1,Y,Shasta,Artificial,Tecuya,Artificial,8,2000,2,Y,5,Fostered to Tsuts; Pulled Due to ♀ Attacking ♂; Brooding and Not Feeding,243,30,47,0,-0.0316,0.0046
84,01KARE1,3/4/2001,2001,286.97,283.8,110.44,67.5,255.12,9,11,1,Y,Tapu,Parent,Kareya,Artificial,7,2000,1,N,0,Gave to Adults on Day48; Pulled for 3 Hours to Hand Hatch Then Returned,246,56,71,0.0525,-0.0316,0.05
85,01HAKU1,3/11/2001,2001,306.18,311.35,109.05,71.15,279.89,8,9,1,Y,Siwon,Artificial,Haku,Artificial,4,2000,1,N,0,Died Day 53,NA,77,85,0.0525,-0.0375,0.0704
86,01HOSI2,3/13/2001,2001,254.94,249.88,103.84,65.32,224.63,11,8,2,Y,Maluk,Artificial,Hosima,Parent,4,2000,2,Y,1,Gave to Adults;Pulled to Hand Hatched,250,84,55,0.0023,0.0525,0.0908
87,01KOYO1,3/13/2001,2001,270.29,271.49,105.46,67.56,244.05,7,9,1,Y,Inja,Artificial,Koyo,Artificial,4,2000,1,N,0,Hand Hatched; Given to Hosima/Maluk,249,76,104,0.0525,-0.0375,0.0704
88,01KSEN1,3/14/2001,2001,288.07,281.92,116.51,65.5,253.43,8,8,1,Y,Xopoy,Artificial,Ksen,Artificial,4,2000,0,N,0,Hand Hatched,252,94,92,-0.0226,0.0161,-0.0364
89,01PIRU2,3/14/2001,2001,283.75,286.11,104.66,69.62,257.19,11,17,2,Y,Tumusai,Artificial,Piru,Artificial,8,2000,1,N,4,,248,34,53,0,0.0161,-0.0339
90,01CHUH1,3/16/2001,2001,309.93,303.14,109.94,69.92,272.5,10,11,1,Y,O-Tum,Artificial,Chuhlna,Artificial,7,2000,2,Y,2,Returned to Adults on Day 52; Dead ≤ Day 56; No Pip,NA,51,62,-0.0508,0.0549,-0.0077
91,01KITS1,3/16/2001,2001,305.82,306.47,108.28,70.84,275.49,10,10,1,Y,Moko,Artificial,Kitsuk,Artificial,8,2000,1,N,0,"After Egg Pipped and Vocalized, ♂ Began Defending the Egg From The ♀",253,69,58,-0.0226,0.0161,-0.0364
92,01TECU2,3/24/2001,2001,260.43,260.74,102.04,67.31,234.39,12,18,2,Y,Shasta,Artificial,Tecuya,Artificial,8,2000,2,Y,5,"Returned to Adults on Day 29; Pulled To Hand Hatched, Then Returned to Adults",257,30,47,0,-0.0316,0.0046
93,01JALA1,3/26/2001,2001,261.93,259.04,108.24,65.14,232.86,10,9,1,N,Susil,Artificial,Jalama,Artificial,1,2000,1,N,0,Infertile,NA,80,67,-0.0508,-0.0316,-0.0179
512,01TOWA1,3/27/2001,2001,NA,NA,NA,NA,NA,8,12,1,NA,Alishaw,Artificial,Towasinah,Artificial,1,2000,2,Y,4,"Shell Fragments Found in Flight on 2 Apr, Suspected Lay Date 27 Mar",NA,49,90,-0.0508,-0.0083,-0.0052
94,01HOY1,3/28/2001,2001,291.36,285.44,102.58,70.24,256.59,10,8,1,N,Preghawish,Artificial,Hoy,Artificial,4,2000,1,N,0,Infertile,NA,97,61,0.004,0.0525,0.0708
95,01LIKU2,3/30/2001,2001,280.26,274.91,106.79,67.56,247.13,8,8,2,Y,Wishtoyo,Artificial,Likuyi,Artificial,4,2000,1,N,0,Given to Sulkuw/Kuhu,258,96,83,-0.0591,0.0023,0.036
96,01SULK1,3/30/2001,2001,298.15,293.16,107.24,69.62,263.53,8,8,1,Y,Kuhu,Artificial,Sulkuw,Artificial,4,2000,1,N,0,,259,93,91,-0.0508,-0.0083,-0.0052
97,01HONS1,4/14/2001,2001,260.06,259.21,101.08,67.43,233.01,7,11,1,Y,Antop,Artificial,Honsi,Artificial,1,2000,2,Y,4,There is Some Question to the Lay Date,261,57,99,0.0549,0.0525,0.1113
98,02ROTC1,1/24/2002,2002,260.3,260.9,102.62,67.14,234.53,10,11,1,N,Atishwin,Artificial,Rotciwi,Artificial,8,2001,1,N,0,Infertile,NA,59,73,0.0161,-0.0226,-0.0364
99,02HOSI1,2/16/2002,2002,261.73,262.52,102.16,67.5,235.99,12,9,1,Y,Maluk,Artificial,Hosima,Parent,5,2001,2,Y,2,Returned to Adults After Pip; Chick Rotated 75%; Removed Cap,272,84,55,0.0023,0.0525,0.0908
